keys,zh_CN,en
card.hui_xiang_jian.name,"回响剑","Echo Blade"
card.hui_xiang_jian.desc,"复制链条中前一张牌的效果并触发。","Copy and trigger the effect of the previous card in chain."
card.chong_neng_zhan.name,"充能斩","Charge Slash"
card.chong_neng_zhan.desc,"造成 5 点伤害，获得 1 层充能。","Deal 5 damage and gain 1 Charge."
card.jian_jue.name,"剑诀","Sword Art"
card.jian_jue.desc,"造成 2 次 3 点伤害（共 6 点）。","Deal 3 damage twice (6 total)."
card.xu_kong_jian.name,"虚空剑","Void Blade"
card.xu_kong_jian.desc,"打断目标当前卡的蓄力进度，附加 5 点伤害。","Interrupt target's current card progress. Deal 5 bonus damage."
card.qing_feng_zhan.name,"清风斩","Wind Slash"
card.qing_feng_zhan.desc,"造成 6 点伤害。","Deal 6 damage."
card.jian_qi_mu.name,"剑气幕","Sword Qi Veil"
card.jian_qi_mu.desc,"造成 20 点伤害。","Deal 20 damage."
card.yan_jian.name,"火·炎剑","Fire · Flame Sword"
card.yan_jian.desc,"造成 8 点伤害，施加燃烧。","Deal 8 damage and apply Burn."
card.jian_yu.name,"剑域","Sword Domain"
card.jian_yu.desc,"造成 3 次 3 点伤害（共 9 点）。","Deal 3 damage three times (9 total)."
card.po_jia.name,"破甲","Armor Break"
card.po_jia.desc,"施加易伤 3 tick。","Apply Vulnerable for 3 ticks."
card.qian_zhan.name,"千斩","Thousand Cuts"
card.qian_zhan.desc,"消耗所有充能，造成 20+充能×3 点伤害（一次性）。","Consume all Charge. Deal 20 + Charge×3 damage. (Consumable)"
card.zhan_plus.name,"斩+","Slash+"
card.zhan_plus.desc,"造成 8 点伤害。（升级版斩）","Deal 8 damage. (Upgraded Slash)"
card.qiang_pi_plus.name,"强劈+","Power Strike+"
card.qiang_pi_plus.desc,"消耗所有充能，造成 14+充能×2 点伤害。（升级版强劈）","Consume all Charge. Deal 14 + Charge×2 damage. (Upgraded Power Strike)"
card.ci_jian.name,"刺剑","Thrust"
card.ci_jian.desc,"造成 4 点伤害。若前一张是攻击牌，额外 +3。","Deal 4 damage. If the previous card was an Attack, +3."
card.yang_jian_shi.name,"养剑势","Blade Tempering"
card.yang_jian_shi.desc,"获得 1 层力量（一次性）。","Gain 1 Strength. (Consumable)"
card.liu_yun_jian.name,"流云剑","Flowing Blade"
card.liu_yun_jian.desc,"造成 2 次 4 点伤害（共 8 点）。","Deal 4 damage twice (8 total)."
card.ju_qi.name,"聚气","Gather Qi"
card.ju_qi.desc,"获得 1 层充能。","Gain 1 Charge."
card.duan_yue_zhan.name,"断岳斩","Mountain Splitter"
card.duan_yue_zhan.desc,"消耗所有充能，造成 12+充能×2.5 点伤害。","Consume all Charge. Deal 12 + Charge×2.5 damage."
card.yun_ti.name,"云体","Cloud Form"
card.yun_ti.desc,"获得 12 点护盾。","Gain 12 Shield."
card.wu_ying_jian.name,"无影剑","Shadowless Blade"
card.wu_ying_jian.desc,"造成 4 次 4 点伤害（共 16 点）。","Deal 4 damage four times (16 total)."
card.tian_he_yi_jian.name,"天河一剑","Celestial River Slash"
card.tian_he_yi_jian.desc,"造成 28 点伤害。","Deal 28 damage."
card.type.attack,"攻击","Attack"
card.type.defense,"防御","Defense"
card.type.buff,"增益","Buff"
card.type.control,"控制","Control"
card.type.summon,"召唤","Summon"
card.type.special,"特殊","Special"
enemy.slime.name,"沼泽史莱姆","Marsh Slime"
enemy.stone_guard.name,"石像卫","Stone Guard"
enemy.fire_imp.name,"焰魔小鬼","Fire Imp"
enemy.iron_golem.name,"铁制傀儡","Iron Golem"
enemy.shadow_blade.name,"影刃幽灵","Shadow Blade"
enemy.slime_strike.name,"粘液撞击","Slime Strike"
enemy.slime_strike.desc,"造成 4 点伤害。","Deal 4 damage."
enemy.imp_double_strike.name,"双爪连击","Twin Claw"
enemy.imp_double_strike.desc,"造成 2 次 3 点伤害。","Deal 3 damage twice."
enemy.imp_ignite.name,"业火点燃","Ignite"
enemy.imp_ignite.desc,"施加 2 层燃烧（持续 3 tick）。","Apply 2 Burn for 3 ticks."
enemy.golem_heavy_blow.name,"重锤击","Heavy Strike"
enemy.golem_heavy_blow.desc,"造成 14 点伤害。","Deal 14 damage."
enemy.golem_stomp.name,"践踏","Stomp"
enemy.golem_stomp.desc,"施加缓速 2 tick。","Apply Slow for 2 ticks."
enemy.shadow_quick_slash.name,"疾影斩","Quick Slash"
enemy.shadow_quick_slash.desc,"造成 5 点伤害。","Deal 5 damage."
enemy.shadow_strike.name,"影刃","Shadow Strike"
enemy.shadow_strike.desc,"造成 10 点伤害。","Deal 10 damage."
enemy.shadow_weaken.name,"虚弱诅咒","Weaken Curse"
enemy.shadow_weaken.desc,"施加虚弱 3 tick（受到伤害 +50%）。","Apply Weakness for 3 ticks (+50% damage taken)."
enemy.guard_strike.name,"长戟横扫","Halberd Sweep"
enemy.guard_strike.desc,"造成 6 点伤害。","Deal 6 damage."
enemy.guard_defend.name,"石卫架势","Stone Guard Stance"
enemy.guard_defend.desc,"获得 4 点护盾。","Gain 4 Shield."
reward.title,"战斗胜利！","Victory!"
reward.subtitle,"选择一项奖励","Choose a reward"
reward.skip,"跳过","Skip"
reward.empty,"暂无可选奖励","No rewards available"
reward.gem.tooltip,"选择宝石加入背包，可在构筑界面镶嵌到底座。","Choose this gem and socket it into a base in the Build screen."
slot.base.name,"阵位","Base Slot"
slot.base.desc,"固定底座，可放 1 张卡 + 1 颗宝石。","Fixed base, holds 1 card + 1 gem."
gem.ruby.name,"红宝石","Ruby"
gem.ruby.desc,"该底座的卡 +2 伤害。","This base's card deals +2 damage."
gem.sapphire.name,"蓝宝石","Sapphire"
gem.sapphire.desc,"该底座的卡 cost -1（最低 1）。","This base's card costs 1 less (min 1)."
gem.amber.name,"琥珀","Amber"
gem.amber.desc,"该底座的卡打出时 +1 充能。","Gain +1 charge when this base's card fires."
gem.jade.name,"翡翠","Jade"
gem.jade.desc,"每循环一周恢复 3 点生命。","Heal 3 HP each time the chain completes a full cycle."
relic.ancient_coin.name,"古旧铜钱","Ancient Coin"
relic.ancient_coin.desc,"一枚带着岁月气息的护符。遗物效果将在后续版本接入。","An aged charm. Relic effects will be implemented in a later pass."
relic.sword_tassel.name,"旧剑穗","Old Sword Tassel"
relic.sword_tassel.desc,"剑柄上褪色的穗饰。遗物效果将在后续版本接入。","A faded tassel for a sword hilt. Relic effects will be implemented in a later pass."
card.shan_ji.name,"闪击","Flash Cut"
card.shan_ji.desc,"造成 4 点伤害。获得加速 1。","Deal 4 damage. Gain Haste 1."
card.lian_ci.name,"连刺","Double Thrust"
card.lian_ci.desc,"造成 2 次 2 点伤害。","Deal 2 damage twice."
card.kuai_jian.name,"快剑","Quick Blade"
card.kuai_jian.desc,"造成 6 点伤害。","Deal 6 damage."
card.hui_feng.name,"回风","Returning Wind"
card.hui_feng.desc,"本周天结束前，下一张牌 cost 减半。","Until this cycle ends, halve the next card's cost."
card.jian_bu.name,"剑步","Sword Step"
card.jian_bu.desc,"获得加速 1。","Gain Haste 1."
card.shun_pu.name,"顺劈","Flowing Cleave"
card.shun_pu.desc,"造成 9 点伤害。流转：下一张攻击牌 +2 伤害。","Deal 9 damage. Flow: next Attack gets +2 damage."
card.qing_mang.name,"青芒","Verdant Gleam"
card.qing_mang.desc,"造成 5 点伤害。","Deal 5 damage."
card.san_luo_jian.name,"散落剑","Scattered Blades"
card.san_luo_jian.desc,"造成 3 次 2 点伤害。","Deal 2 damage three times."
card.yi_qi.name,"一气","One Breath"
card.yi_qi.desc,"获得 1 层充能。若上一张是攻击牌，额外获得 1 层。","Gain 1 Charge. If the previous card was an Attack, gain 1 more."
card.yin_qi_zhan.name,"引气斩","Qi-Draw Slash"
card.yin_qi_zhan.desc,"造成 6 点伤害，获得 1 层充能。","Deal 6 damage and gain 1 Charge."
card.na_qi.name,"纳气","Absorb Qi"
card.na_qi.desc,"获得 2 层充能。","Gain 2 Charge."
card.po_kong_zhan.name,"破空斩","Skybreak Slash"
card.po_kong_zhan.desc,"消耗所有充能，造成 8+充能×2 点伤害。","Consume all Charge. Deal 8 + Charge×2 damage."
card.ning_qi.name,"凝气","Condense Qi"
card.ning_qi.desc,"获得 1 层充能。流转：下一张充能牌额外 +1 充能。","Gain 1 Charge. Flow: next Charge card gains +1 extra Charge."
card.qie_mai.name,"切脉","Sever Meridian"
card.qie_mai.desc,"施加迟滞 2 tick。","Apply Slow for 2 ticks."
card.lan_jian.name,"拦剑","Parry Blade"
card.lan_jian.desc,"打断目标当前卡，附加 3 点伤害。","Interrupt target's current card and deal 3 damage."
card.zhen_jiao.name,"镇脚","Rooting Step"
card.zhen_jiao.desc,"施加迟滞 1 tick。","Apply Slow for 1 tick."
card.lie_kou.name,"裂口","Open Wound"
card.lie_kou.desc,"造成 7 点伤害；若目标有迟滞，额外 +3。","Deal 7 damage; +3 if target is Slowed."
card.yu_bu.name,"御步","Guard Step"
card.yu_bu.desc,"获得 5 点护盾。","Gain 5 Shield."
card.jian_ge.name,"剑格","Sword Guard"
card.jian_ge.desc,"获得 10 点护盾。","Gain 10 Shield."
card.fan_shou.name,"反手","Riposte"
card.fan_shou.desc,"造成 4 点伤害。若你有护盾，额外 +3。","Deal 4 damage. If you have Shield, +3."
card.shou_zhong_dai_gong.name,"守中带攻","Guarded Strike"
card.shou_zhong_dai_gong.desc,"获得 6 点护盾，造成 4 点伤害。","Gain 6 Shield and deal 4 damage."
card.jian_ying.name,"剑影","Blade Shadow"
card.jian_ying.desc,"复制前一张普通攻击牌。","Copy the previous common Attack card."
card.zhui_jian.name,"追剑","Pursuing Blade"
card.zhui_jian.desc,"若前一张是攻击牌，造成 7 点伤害，否则造成 4 点。","If previous card is an Attack, deal 7 damage; otherwise 4."
card.qian_yin.name,"牵引","Lead-In"
card.qian_yin.desc,"本周天结束前，下一张特殊牌 cost -1。","Until this cycle ends, the next Special card costs 1 less."
card.huo_xing.name,"火·火星","Fire · Spark"
card.huo_xing.desc,"造成 3 点伤害，施加 1 层燃烧 3 tick。","Deal 3 damage. Apply 1 Burn for 3 ticks."
card.yan_xi.name,"火·炎息","Fire · Flame Breath"
card.yan_xi.desc,"造成 6 点伤害，施加 2 层燃烧 3 tick。","Deal 6 damage. Apply 2 Burn for 3 ticks."
card.yin_ran.name,"火·引燃","Fire · Ignite"
card.yin_ran.desc,"若目标已有燃烧，使其燃烧持续 +2 tick。","If target has Burn, extend it by 2 ticks."
card.liu_huo.name,"火·流火","Fire · Flowing Fire"
card.liu_huo.desc,"造成 5 点伤害。流转：下一张火牌 +3 伤害。","Deal 5 damage. Flow: next Fire card gets +3 damage."
card.ding_shi.name,"定时","Set Tempo"
card.ding_shi.desc,"本周天结束前，下一张牌 cost -1。","Until this cycle ends, the next card costs 1 less."
card.yi_pai.name,"移拍","Shift Beat"
card.yi_pai.desc,"流转：后续第 2 张牌 +3 伤害。","Flow: the second later card gets +3 damage."
card.duan_pai.name,"断拍","Broken Beat"
card.duan_pai.desc,"打断目标；若成功，获得加速 1。","Interrupt target. If successful, gain Haste 1."
card.xiao_zhou_tian.name,"小周天","Minor Cycle"
card.xiao_zhou_tian.desc,"获得 1 层充能和加速 1。","Gain 1 Charge and Haste 1."
card.bu_fa.name,"步法","Footwork"
card.bu_fa.desc,"固有：后一张牌 cost -1，最低 1。","Innate: the next card costs 1 less, min 1."
card.ce_shen.name,"侧身","Side Step"
card.ce_shen.desc,"获得 4 点护盾。本周天结束前，下一张牌 cost -1。","Gain 4 Shield. Until this cycle ends, next card costs 1 less."
card.zhuan_shou.name,"转手","Turnabout"
card.zhuan_shou.desc,"流转：下一张非攻击牌 cost -1。","Flow: the next non-Attack card costs 1 less."
card.shou_shi.name,"收势","Close Form"
card.shou_shi.desc,"获得 6 点护盾。若这是本周天最后一张牌，额外恢复 3 生命。","Gain 6 Shield. If this is the last card this cycle, heal 3."
card.feng_chi.name,"风驰","Windrush"
card.feng_chi.desc,"获得加速 2。","Gain Haste 2."
card.lian_huan_jian.name,"连环剑","Chain Blade"
card.lian_huan_jian.desc,"造成 4 次 3 点伤害。","Deal 3 damage four times."
card.ru_yan.name,"如燕","Swallow Step"
card.ru_yan.desc,"本周天结束前，下一张攻击牌 cost 减半。","Until this cycle ends, halve the next Attack card's cost."
card.feng_juan_can_yun.name,"风卷残云","Gale Sweep"
card.feng_juan_can_yun.desc,"造成 14 点伤害。若你有加速，额外触发一次。","Deal 14 damage. If you have Haste, trigger once more."
card.qi_hai.name,"气海","Qi Sea"
card.qi_hai.desc,"获得 2 层充能。固有：后一张充能消耗牌 cost -1。","Gain 2 Charge. Innate: next Charge-consume card costs 1 less."
card.jian_dan.name,"剑胆","Blade Resolve"
card.jian_dan.desc,"获得 3 层充能。","Gain 3 Charge."
card.lie_shan_pi.name,"裂山劈","Mountain Rive"
card.lie_shan_pi.desc,"消耗所有充能，造成 16+充能×2.5 点伤害。","Consume all Charge. Deal 16 + Charge×2.5 damage."
card.hui_qi.name,"回气","Qi Return"
card.hui_qi.desc,"消耗所有充能造成 8+充能×2 伤害；若消耗 3 层以上，返还 1 层。","Consume all Charge for 8 + Charge×2 damage; if 3+ spent, regain 1 Charge."
card.feng_xue.name,"封穴","Seal Point"
card.feng_xue.desc,"施加迟滞 4 tick。","Apply Slow for 4 ticks."
card.po_zhen.name,"破阵","Formation Breaker"
card.po_zhen.desc,"造成 13 点伤害。若目标有迟滞，打断目标。","Deal 13 damage. If target is Slowed, interrupt it."
card.kong_ming_jian.name,"空明剑","Clear Void Blade"
card.kong_ming_jian.desc,"打断目标，附加 8 点伤害。","Interrupt target and deal 8 damage."
card.zhen_mai.name,"镇脉","Meridian Lock"
card.zhen_mai.desc,"施加迟滞 3 tick。流转：下一张攻击牌对迟滞目标 +6 伤害。","Apply Slow 3 ticks. Flow: next Attack deals +6 to Slowed targets."
card.xuan_jia.name,"玄甲","Mystic Guard"
card.xuan_jia.desc,"获得 16 点护盾。","Gain 16 Shield."
card.fan_zhen.name,"反震","Rebound"
card.fan_zhen.desc,"获得 8 点护盾。若你已有护盾，造成等量伤害。","Gain 8 Shield. If you already had Shield, deal that much damage."
card.cang_feng_shou.name,"藏锋守","Hidden Edge Guard"
card.cang_feng_shou.desc,"获得 10 点护盾。固有：前一张攻击牌 cost -1。","Gain 10 Shield. Innate: previous Attack costs 1 less."
card.yu_jian_fan_ji.name,"御剑反击","Guarded Riposte"
card.yu_jian_fan_ji.desc,"造成 7 点伤害；本周天每获得过 5 点护盾，额外 +2。","Deal 7 damage; +2 for each 5 Shield gained this cycle."
card.shuang_xiang.name,"双响","Double Echo"
card.shuang_xiang.desc,"复制前一张非回响牌。","Copy the previous non-Echo card."
card.jian_ming.name,"剑鸣","Blade Resonance"
card.jian_ming.desc,"固有：相邻攻击牌 cost -1，最低 1。","Innate: adjacent Attack cards cost 1 less, min 1."
card.yu_yin.name,"余音","Aftertone"
card.yu_yin.desc,"流转：下一张被复制的牌 +5 伤害。","Flow: the next copied card gets +5 damage."
card.ran_jian.name,"火·燃剑","Fire · Burning Blade"
card.ran_jian.desc,"造成 9 点伤害。目标每有 1 层燃烧，额外 +1。","Deal 9 damage. +1 per Burn stack on target."
card.huo_yu.name,"火·火狱","Fire · Flame Prison"
card.huo_yu.desc,"施加 3 层燃烧 4 tick 和迟滞 2 tick。","Apply 3 Burn for 4 ticks and Slow for 2 ticks."
card.chi_xiao.name,"火·赤霄","Fire · Red Firmament"
card.chi_xiao.desc,"造成 12 点伤害。流转：下一张火牌施加的燃烧 +2。","Deal 12 damage. Flow: next Fire card applies +2 Burn."
card.shi_ling.name,"时令","Timing Order"
card.shi_ling.desc,"固有：相邻牌 cost -1，最低 1。","Innate: adjacent cards cost 1 less, min 1."
card.wu_bu_yi_sha.name,"五步一杀","Five-Step Kill"
card.wu_bu_yi_sha.desc,"造成 24 点伤害。若你有加速，此牌 cost 减半。","Deal 24 damage. If you have Haste, this card's cost is halved."
card.feng_lei_yin.name,"风雷引","Wind-Thunder Lead"
card.feng_lei_yin.desc,"获得加速 3。本周天下一张攻击牌额外触发一次。","Gain Haste 3. The next Attack this cycle triggers once more."
card.wan_jian_gui_zong.name,"万剑归宗","Ten Thousand Blades"
card.wan_jian_gui_zong.desc,"造成 8 次 3 点伤害。","Deal 3 damage eight times."
card.tai_xu_ju_qi.name,"太虚聚气","Void Qi Condensation"
card.tai_xu_ju_qi.desc,"获得 4 层充能。固有：相邻充能消耗牌 cost -1。","Gain 4 Charge. Innate: adjacent Charge-consume cards cost 1 less."
card.kai_tian_zhan.name,"开天斩","Heaven Splitter"
card.kai_tian_zhan.desc,"消耗所有充能，造成 24+充能×4 点伤害。","Consume all Charge. Deal 24 + Charge×4 damage."
card.qi_zhuan.name,"气转","Qi Transposition"
card.qi_zhuan.desc,"本周天结束前，下一张消耗充能的牌 cost 减半，且不消耗前 2 层充能。","Until this cycle ends, halve next Charge-consume card cost and preserve 2 Charge."
card.sui_xing_jian.name,"碎星剑","Starbreaker Blade"
card.sui_xing_jian.desc,"穿透打断目标，附加 18 点伤害。","Pierce-interrupt target and deal 18 damage."
card.tian_luo.name,"天罗","Celestial Net"
card.tian_luo.desc,"施加迟滞 6 tick。目标本周天下一张牌 cost 额外 +1。","Apply Slow 6 ticks. Target's next card this cycle costs +1 more."
card.zhan_nian.name,"斩念","Thought Sever"
card.zhan_nian.desc,"造成 12 点伤害。目标每有一种负面状态，额外 +8。","Deal 12 damage. +8 per debuff on target."
card.bu_mie_jian_xin.name,"不灭剑心","Undying Sword Heart"
card.bu_mie_jian_xin.desc,"获得 20 点护盾。周天结束时保留一半护盾。","Gain 20 Shield. Keep half your Shield at cycle end."
card.xuan_wu_fan.name,"玄武反","Black Tortoise Counter"
card.xuan_wu_fan.desc,"造成等同当前护盾的伤害，然后获得 8 点护盾。","Deal damage equal to current Shield, then gain 8 Shield."
card.jian_yu_tong_xin.name,"剑与同心","Blade Unity"
card.jian_yu_tong_xin.desc,"复制前两张非回响牌。","Copy the previous two non-Echo cards."
card.kong_gu_hui_xiang.name,"空谷回响","Valley Echo"
card.kong_gu_hui_xiang.desc,"固有：前后两张牌 cost -1。若此卡复制成功，获得加速 2。","Innate: adjacent cards cost 1 less. If this copies successfully, gain Haste 2."
card.fen_tian.name,"火·焚天","Fire · Skyfire"
card.fen_tian.desc,"造成 18 点伤害。引爆目标燃烧，立即结算剩余燃烧伤害的一半。","Deal 18 damage. Detonate Burn for half its remaining damage."
card.ye_huo_lun.name,"火·业火轮","Fire · Karmic Fire Wheel"
card.ye_huo_lun.desc,"本周天每打出一张火牌，周天结束时对敌人造成 5 点伤害。","Each Fire card played this cycle adds 5 end-cycle damage."
card.shi_xu_ling.name,"时序令","Temporal Edict"
card.shi_xu_ling.desc,"获得加速 2。本周天结束前，每打出 3 张牌，下一张牌 cost 减半。","Gain Haste 2. Until this cycle ends, every 3 cards played halves the next card's cost."
card.tai_yi_lun.name,"太一轮","Grand Cycle"
card.tai_yi_lun.desc,"周天结束时，若本周天打出了 6 张以上牌，恢复 8 生命并获得加速 2。","At cycle end, if 6+ cards were played, heal 8 and gain Haste 2."
status.haste.name,"加速","Haste"
status.haste.desc,"链条推进更快","Chain advances faster"
card.bu_fa_plus.name,"步法+","Footwork+"
card.bu_fa_plus.desc,"固有：后一张牌 cost -1，最低 1。（升级版）","Innate: the next card costs 1 less, min 1. (Upgraded)"
card.bu_mie_jian_xin_plus.name,"不灭剑心+","Undying Sword Heart+"
card.bu_mie_jian_xin_plus.desc,"获得 20 点护盾。周天结束时保留一半护盾。（升级版）","Gain 20 Shield. Keep half your Shield at cycle end. (Upgraded)"
card.cang_feng_shou_plus.name,"藏锋守+","Hidden Edge Guard+"
card.cang_feng_shou_plus.desc,"获得 10 点护盾。固有：前一张攻击牌 cost -1。（升级版）","Gain 10 Shield. Innate: previous Attack costs 1 less. (Upgraded)"
card.ce_shen_plus.name,"侧身+","Side Step+"
card.ce_shen_plus.desc,"获得 4 点护盾。本周天结束前，下一张牌 cost -1。（升级版）","Gain 4 Shield. Until this cycle ends, next card costs 1 less. (Upgraded)"
card.chi_xiao_plus.name,"火·赤霄+","Fire · Red Firmament+"
card.chi_xiao_plus.desc,"造成 12 点伤害。流转：下一张火牌施加的燃烧 +2。（升级版）","Deal 12 damage. Flow: next Fire card applies +2 Burn. (Upgraded)"
card.chong_neng_zhan_plus.name,"充能斩+","Charge Slash+"
card.chong_neng_zhan_plus.desc,"造成 5 点伤害，获得 1 层充能。（升级版）","Deal 5 damage and gain 1 Charge. (Upgraded)"
card.ci_jian_plus.name,"刺剑+","Thrust+"
card.ci_jian_plus.desc,"造成 7 点伤害。若前一张是攻击牌，额外 +3。（升级版）","Deal 7 damage. If the previous card was an Attack, +3. (Upgraded)"
card.ding_shi_plus.name,"定时+","Set Tempo+"
card.ding_shi_plus.desc,"本周天结束前，下一张牌 cost -1。（升级版）","Until this cycle ends, the next card costs 1 less. (Upgraded)"
card.duan_pai_plus.name,"断拍+","Broken Beat+"
card.duan_pai_plus.desc,"打断目标；若成功，获得加速 1。（升级版）","Interrupt target. If successful, gain Haste 1. (Upgraded)"
card.duan_yue_zhan_plus.name,"断岳斩+","Mountain Splitter+"
card.duan_yue_zhan_plus.desc,"消耗所有充能，造成 12+充能×2.5 点伤害。（升级版）","Consume all Charge. Deal 12 + Charge×2.5 damage. (Upgraded)"
card.fan_shou_plus.name,"反手+","Riposte+"
card.fan_shou_plus.desc,"造成 4 点伤害。若你有护盾，额外 +3。（升级版）","Deal 4 damage. If you have Shield, +3. (Upgraded)"
card.fan_zhen_plus.name,"反震+","Rebound+"
card.fan_zhen_plus.desc,"获得 8 点护盾。若你已有护盾，造成等量伤害。（升级版）","Gain 8 Shield. If you already had Shield, deal that much damage. (Upgraded)"
card.fen_tian_plus.name,"火·焚天+","Fire · Skyfire+"
card.fen_tian_plus.desc,"造成 18 点伤害。引爆目标燃烧，立即结算剩余燃烧伤害的一半。（升级版）","Deal 18 damage. Detonate Burn for half its remaining damage. (Upgraded)"
card.feng_chi_plus.name,"风驰+","Windrush+"
card.feng_chi_plus.desc,"获得加速 2。（升级版）","Gain Haste 2. (Upgraded)"
