keys,zh_CN,en
enemy.slime_strike.name,"粘液撞击","Slime Strike"
enemy.slime_strike.desc,"造成 4 点伤害。","Deal 4 damage."
enemy.imp_double_strike.name,"双爪连击","Twin Claw"
enemy.imp_double_strike.desc,"造成 2 次 3 点伤害。","Deal 3 damage twice."
enemy.imp_ignite.name,"业火点燃","Ignite"
enemy.imp_ignite.desc,"施加 2 层燃烧（持续 3 tick）。","Apply 2 Burn for 3 ticks."
enemy.golem_heavy_blow.name,"重锤击","Heavy Strike"
enemy.golem_heavy_blow.desc,"造成 14 点伤害。","Deal 14 damage."
enemy.golem_stomp.name,"践踏","Stomp"
enemy.golem_stomp.desc,"施加缓速 2 tick。","Apply Slow for 2 ticks."
enemy.shadow_quick_slash.name,"疾影斩","Quick Slash"
enemy.shadow_quick_slash.desc,"造成 5 点伤害。","Deal 5 damage."
enemy.shadow_strike.name,"影刃","Shadow Strike"
enemy.shadow_strike.desc,"造成 10 点伤害。","Deal 10 damage."
enemy.shadow_weaken.name,"虚弱诅咒","Weaken Curse"
enemy.shadow_weaken.desc,"施加虚弱 3 tick（受到伤害 +50%）。","Apply Weakness for 3 ticks (+50% damage taken)."
enemy.guard_strike.name,"长戟横扫","Halberd Sweep"
enemy.guard_strike.desc,"造成 6 点伤害。","Deal 6 damage."
enemy.guard_defend.name,"石卫架势","Stone Guard Stance"
enemy.guard_defend.desc,"获得 4 点护盾。","Gain 4 Shield."
card.type.attack,"攻击","Attack"
card.type.defense,"防御","Defense"
card.type.buff,"增益","Buff"
card.type.control,"控制","Control"
card.type.summon,"召唤","Summon"
card.type.special,"特殊","Special"
reward.title,"战斗胜利！","Victory!"
reward.subtitle,"选择一张卡牌加入卡组","Choose a card to add to your deck"
reward.skip,"跳过","Skip"
reward.empty,"暂无可选卡牌","No reward cards available"
slot.sword_base.name,"剑修六合阵","Six-Slot Sword Base"
slot.sword_base.desc,"剑修起手底座，6 槽位，每槽独立词条。","Starter sword base, 6 slots, each with its own trait."
slot.ext_1x1_simple.name,"素环","Plain Ring"
slot.ext_1x1_simple.desc,"单槽位扩展底座。","Single-slot extension base."
slot.ext_1x1_charged.name,"蓄气环","Chargestone Ring"
slot.ext_1x1_charged.desc,"单槽位，倾向充能流。","Single-slot, charge-flavored."
slot.ext_1x1_swift.name,"迅环","Swift Ring"
slot.ext_1x1_swift.desc,"单槽位，倾向快攻短链。","Single-slot, fast tempo build."
slot.ext_1x2_balanced.name,"双珠环","Twin-Bead Ring"
slot.ext_1x2_balanced.desc,"双槽位，词条均衡。","Two slots, balanced trait."
slot.ext_1x2_resonance.name,"共鸣环","Resonance Ring"
slot.ext_1x2_resonance.desc,"双槽位，倾向共鸣 build。","Two slots, resonance-flavored."
slot.ext_1x2_echo.name,"回响环","Echo Ring"
slot.ext_1x2_echo.desc,"双槽位，倾向回响 build。","Two slots, echo-flavored."
slot.ext_1x3_long.name,"长链环","Long-Chain Ring"
slot.ext_1x3_long.desc,"三槽位，长链流派核心。","Three slots, core for long-chain build."
slot.ext_1x3_combo.name,"连击环","Combo Ring"
slot.ext_1x3_combo.desc,"三槽位，倾向链尾再触发。","Three slots, replay end-of-chain."
slot.ext_1x3_recovery.name,"修整环","Recovery Ring"
slot.ext_1x3_recovery.desc,"三槽位，倾向修整爆发。","Three slots, recovery-burst flavored."
trait.sharp_blade.name,"锋锐","Sharp Blade"
trait.sharp_blade.desc,"该槽位的卡 +2 伤害。","This slot's card deals +2 damage."
trait.swift_strike.name,"迅捷","Swift Strike"
trait.swift_strike.desc,"该槽位的卡 cost -1（最低 1）。","This slot's card costs 1 less (min 1)."
trait.charge_well.name,"蓄能井","Charge Well"
trait.charge_well.desc,"该槽位的卡打出时 +1 充能。","Gain +1 charge when this slot's card fires."
trait.fragile_edge.name,"脆刃","Fragile Edge"
trait.fragile_edge.desc,"该槽位的卡 cost -1（取舍：未来版本会加血损）。","This slot's card costs 1 less (trade-off pending)."
trait.combo_breath.name,"连击气","Combo Breath"
trait.combo_breath.desc,"一轮链条结束时，重新触发链条最后一张卡。","Replay the last card at the end of each chain cycle."
trait.flame_aura.name,"火焰光环","Flame Aura"
trait.flame_aura.desc,"链条中每有一张「火」卡，所有火卡 +1 伤。","Each fire card in chain grants all fire cards +1 damage."
trait.echo_chamber.name,"回响阵","Echo Chamber"
trait.echo_chamber.desc,"该扩展底座所有卡打出时，额外触发前一张卡。","Cards in this extension base trigger the previous card again."
trait.recovery_blast.name,"修整爆发","Recovery Blast"
trait.recovery_blast.desc,"进入修整时给 owner +2 充能。","Gain +2 charge when entering recovery."
